figure,metric,target,unit,tolerance_relative,tolerance_absolute,source,note
fig2,t1_truth_s,600,s,0.05,0,paper_text,"Equivalent history interval at 700 C."
fig2,t2_truth_s,400,s,0.05,0,paper_text,"Equivalent history interval at 800 C."
fig2,t3_truth_s,300,s,0.05,0,paper_text,"Equivalent history interval at 900 C."
fig2,t4_truth_s,200,s,0.05,0,paper_text,"Equivalent history interval at 1000 C."
fig2,t5_truth_s,100,s,0.05,0,paper_text,"Equivalent history interval at 1100 C."
fig3,t4_mean_s,260,s,0.05,0,paper_text,"Regularized LLS with noise; paper states reconstructed time around 260 s at 1000 C."
fig3,t5_mean_s,93,s,0.05,0,paper_text,"Regularized LLS with noise; paper states mean around 93 s at 1100 C."
fig3,t5_std_s,7,s,0.05,0,paper_text,"Regularized LLS with noise; paper states standard deviation about 7 percent of 100 s."
fig6,noiseless_t1_s,600.05,s,0.05,0,paper_text,"Noiseless alpha=0 LLS recovery reported in paper."
fig6,noiseless_t2_s,399.94,s,0.05,0,paper_text,"Noiseless alpha=0 LLS recovery reported in paper."
fig6,noiseless_t3_s,300.01,s,0.05,0,paper_text,"Noiseless alpha=0 LLS recovery reported in paper."
fig6,noiseless_t4_s,200,s,0.05,0,paper_text,"Noiseless alpha=0 LLS recovery reported in paper."
fig6,noiseless_t5_s,100,s,0.05,0,paper_text,"Noiseless alpha=0 LLS recovery reported in paper."
fig7,fend_sensor21_exact,0.386,fraction,0.05,0,paper_text,"Paper states exact end crystallinity for sensor 21."
fig7,nnls_fend_mean,0.385,fraction,0.05,0,paper_text,"Paper states PQN-NNLS reconstructed end crystallinity for sensor 21; this implementation evaluates the same NNLS objective with SciPy nnls."
fig7,nnls_fend_std,0.003,fraction,0.05,0,paper_text,"Paper states PQN-NNLS standard deviation for sensor 21 end crystallinity; this implementation evaluates the same NNLS objective with SciPy nnls."
fig8_spike_1100,t1_mean_s,999.7,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: first plateau duration."
fig8_spike_1100,t1_std_s,12,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: first plateau standard deviation."
fig8_spike_1100,t2_mean_s,590.4,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: second plateau duration."
fig8_spike_1100,t2_std_s,15,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: second plateau standard deviation."
fig8_spike_1100,t3_mean_s,9.9,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: high-temperature spike duration."
fig8_spike_1100,t3_std_s,3.5,s,0.05,0,paper_text,"Spike reconstruction at 1100 C: high-temperature spike standard deviation."
