figure,metric,observed
fig3,t1_mean_s,1.0486850101519107
fig3,t1_std_s,6.726133245535563
fig3,t2_mean_s,11.101947855191767
fig3,t2_std_s,55.30166203217269
fig3,t3_mean_s,74.28268070419614
fig3,t3_std_s,230.63999807682228
fig3,t4_mean_s,281.80685450641226
fig3,t4_std_s,450.6296131663806
fig3,t5_mean_s,92.40948683742694
fig3,t5_std_s,66.57176320673393
fig4,t1_mean_s,463.12787760729975
fig4,t1_std_s,196.42037264890783
fig4,t2_mean_s,452.7510587213524
fig4,t2_std_s,170.62794729495948
fig4,t3_mean_s,391.1060562658943
fig4,t3_std_s,174.1218708116542
fig4,t4_mean_s,193.7104748948699
fig4,t4_std_s,481.9058546413309
fig4,t5_mean_s,99.30453251058512
fig4,t5_std_s,69.09644267524021
fig8_spike_1100,t1_mean_s,1000.0743263987926
fig8_spike_1100,t1_std_s,58.05531090652876
fig8_spike_1100,t2_mean_s,589.9016095904184
fig8_spike_1100,t2_std_s,65.5866826329783
fig8_spike_1100,t3_mean_s,10.02406401078899
fig8_spike_1100,t3_std_s,7.725432466019236
fig7,nnls_fend_mean,0.3840790424606518
fig7,nnls_fend_std,0.014348164924436
fig2,t1_truth_s,600.0
fig2,t2_truth_s,400.0
fig2,t3_truth_s,300.0
fig2,t4_truth_s,200.0
fig2,t5_truth_s,100.0
fig6,noiseless_t1_s,600.000000127376
fig6,noiseless_t2_s,399.99999996830365
fig6,noiseless_t3_s,300.0000000040239
fig6,noiseless_t4_s,199.9999999997113
fig6,noiseless_t5_s,100.00000000000945
fig7,fend_sensor21_exact,0.38600000037596927
