figure,metric,target,observed,relative_error_percent,status
fig2,t1_truth_s,600.0,600.0,0.0,pass
fig2,t2_truth_s,400.0,400.0,0.0,pass
fig2,t3_truth_s,300.0,300.0,0.0,pass
fig2,t4_truth_s,200.0,200.0,0.0,pass
fig2,t5_truth_s,100.0,100.0,0.0,pass
fig3,t4_mean_s,260.0,281.80685450641226,8.38725173323548,fail
fig3,t5_mean_s,93.0,92.40948683742694,0.6349603898635,pass
fig3,t5_std_s,7.0,66.57176320673393,851.0251886676276,fail
fig6,noiseless_t1_s,600.05,600.000000127376,0.008332617719185233,pass
fig6,noiseless_t2_s,399.94,399.99999996830365,0.01500224241227,pass
fig6,noiseless_t3_s,300.01,300.0000000040239,0.00333322088467122,pass
fig6,noiseless_t4_s,200.0,199.9999999997113,1.4435386219702198e-10,pass
fig6,noiseless_t5_s,100.0,100.00000000000944,9.450218385609332e-12,pass
fig7,fend_sensor21_exact,0.386,0.3860000003759692,9.740136158760024e-08,pass
fig7,nnls_fend_mean,0.385,0.3840790424606518,0.23920975048006,pass
fig7,nnls_fend_std,0.003,0.014348164924436,378.2721641478667,fail
fig8_spike_1100,t1_mean_s,999.7,1000.0743263987926,0.03744387304116,pass
fig8_spike_1100,t1_std_s,12.0,58.05531090652876,383.7942575544064,fail
fig8_spike_1100,t2_mean_s,590.4,589.9016095904184,0.08441571978007,pass
fig8_spike_1100,t2_std_s,15.0,65.5866826329783,337.244550886522,fail
fig8_spike_1100,t3_mean_s,9.9,10.02406401078899,1.25317182615141,pass
fig8_spike_1100,t3_std_s,3.5,7.725432466019236,120.72664188626389,fail
