alpha,temperature_c,mean_s,std_s
1e-12,700,509.97074668426126,526.0
1.1547819846894582e-12,700,511.9749519835617,492.89054191456285
1.333521432163324e-12,700,513.3981084915471,461.88923039587826
1.539926526059492e-12,700,513.9140243041558,432.8618354624272
1.7782794100389228e-12,700,513.3843652225072,405.6826738287426
2.053525026457146e-12,700,511.8692806211192,380.2340647198807
2.3713737056616554e-12,700,509.60345609925173,356.40582033529284
2.7384196342643612e-12,700,506.9439992248096,334.0947687558994
3.1622776601683794e-12,700,504.30083266610853,313.20430722864046
3.651741272548377e-12,700,502.0624740474143,293.64398389430886
4.2169650342858224e-12,700,500.53001008425144,275.3291061476227
4.869675251658631e-12,700,499.8698904122646,258.1803739338094
5.6234132519034904e-12,700,500.09236764498746,242.12353639394144
6.493816315762113e-12,700,501.0577155986458,227.08907037236372
7.498942093324559e-12,700,502.50758754167686,213.01187939420592
8.659643233600653e-12,700,504.11481471767627,199.83101180960975
1e-11,700,505.5422179198535,187.48939688428638
1.1547819846894581e-11,700,506.4999881105099,175.93359769372572
1.3335214321633241e-11,700,506.7919659850453,165.11357975113347
1.539926526059492e-11,700,506.34349970136185,154.98249436729884
1.7782794100389227e-11,700,505.2070219472241,145.49647580437968
2.053525026457146e-11,700,503.54543696575905,136.6144513453195
2.3713737056616552e-11,700,501.5971656178691,128.2979634565306
2.7384196342643612e-11,700,499.6296413112122,120.5110032738415
3.1622776601683794e-11,700,497.8897197952725,113.21985469073263
3.651741272548377e-11,700,496.55962963936526,106.39294837379134
4.216965034285823e-11,700,495.72577748462794,100.0007250733
4.869675251658631e-11,700,495.3652115874501,94.01550763711705
5.6234132519034906e-11,700,495.35131232013305,88.41138117369474
6.493816315762113e-11,700,495.4769019262628,83.16408084536124
7.498942093324558e-11,700,495.4900373834313,78.25088680603281
8.659643233600654e-11,700,495.13576404579317,73.65052582845587
1e-10,700,494.19637936061093,69.34307919504235
1.1547819846894582e-10,700,492.5233706552167,65.30989645348315
1.333521432163324e-10,700,490.05599321740584,61.53351466371734
1.539926526059492e-10,700,486.82408019226614,57.99758278661088
1.778279410038923e-10,700,482.93561971939937,54.68679088696214
2.053525026457146e-10,700,478.5523466767431,51.58680384429616
2.371373705661655e-10,700,473.85858241953434,48.68419928442738
2.7384196342643615e-10,700,469.0294716852768,45.966409463046226
3.1622776601683795e-10,700,464.2044821849935,43.42166684969594
3.651741272548377e-10,700,459.4706585759256,41.03895317652824
4.2169650342858224e-10,700,454.8579795129559,38.80795173122853
4.869675251658631e-10,700,450.34671312775055,36.71900268754746
5.623413251903491e-10,700,445.8843944383464,34.76306128002864
6.493816315762113e-10,700,441.4083752683213,32.93165864183639
7.498942093324559e-10,700,436.86908713842837,31.216865136118727
8.659643233600653e-10,700,432.2492896398449,29.611256022137113
1e-09,700,427.5755611809721,28.107879307503506
1.1547819846894583e-09,700,422.91990823595887,26.70022564733102
1.333521432163324e-09,700,418.39132334857976,25.382200159966796
1.539926526059492e-09,700,414.11906853718483,24.148096037274534
1.7782794100389228e-09,700,410.23105485164575,22.9925698352041
2.053525026457146e-09,700,406.8316345982469,21.910618337660726
2.3713737056616553e-09,700,403.98323028289417,20.897556893498866
2.7384196342643613e-09,700,401.6954587945672,19.948999132843642
3.1622776601683795e-09,700,399.9239111785628,19.0608379749154
3.651741272548377e-09,700,398.57881286343803,18.229227845124736
4.216965034285823e-09,700,397.54180797179885,17.45056802444124
4.869675251658631e-09,700,396.6874895000547,16.721487058941847
5.623413251903491e-09,700,395.9053670879398,16.03882816203494
6.493816315762113e-09,700,395.1179153620853,15.399635546154547
7.498942093324558e-09,700,394.29118606504215,14.801141624743414
8.659643233600654e-09,700,393.43602139688346,14.240755029111801
1e-08,700,392.59985347597035,13.71604938828732
1e-12,800,467.5872976150896,124.0
1.1547819846894582e-12,800,468.2344992852228,116.7295675376171
1.333521432163324e-12,800,468.28559850173207,109.89962831015146
1.539926526059492e-12,800,467.76248794186984,103.48349418164804
1.7782794100389228e-12,800,466.78545470402133,97.45609396856858
2.053525026457146e-12,800,465.54720972284,91.79387547359701
2.3713737056616554e-12,800,464.2755061738796,86.47471345491667
2.7384196342643612e-12,800,463.19141767079907,81.47782317134704
3.1622776601683794e-12,800,462.47080745046117,76.783679165516
3.651741272548377e-12,800,462.21563765198965,72.37393896771076
4.2169650342858224e-12,800,462.4397456019542,68.23137142227884
4.869675251658631e-12,800,463.070948904271,64.33978935651291
5.6234132519034904e-12,800,463.9683499267835,60.68398632892176
6.493816315762113e-12,800,464.9510346750963,57.24967720972958
7.498942093324559e-12,800,465.83247035019156,54.023442361421004
8.659643233600653e-12,800,466.45411462693465,50.99267520121588
1e-11,800,466.7121646865414,48.14553294057308
1.1547819846894581e-11,800,466.57288003558597,45.47089030923694
1.3335214321633241e-11,800,466.07419907336663,42.95829608300197
1.539926526059492e-11,800,465.31398983939687,40.597932245327115
1.7782794100389227e-11,800,464.4277356823567,38.38057562322281
2.053525026457146e-11,800,463.560305258546,36.29756184750207
2.3713737056616552e-11,800,462.83736787615146,34.340751496569574
2.7384196342643612e-11,800,462.3418483149975,32.50249829145498
3.1622776601683794e-11,800,462.09963492093857,30.775619217811577
3.651741272548377e-11,800,462.0768158936847,29.15336645813174
4.216965034285823e-11,800,462.188413832361,27.629401024503288
4.869675251658631e-11,800,462.3163706506169,26.197767988876514
5.6234132519034906e-11,800,462.33282947144517,24.852873214053417
6.493816315762113e-11,800,462.1238841920536,23.58946149447501
7.498942093324558e-11,800,461.6090706207849,22.402596021391417
8.659643233600654e-11,800,460.7529112295268,21.28763909217439
1e-10,800,459.56657216162745,20.240233988393523
1.1547819846894582e-10,800,458.0997839647644,19.25628795184427
1.333521432163324e-10,800,456.42519089346945,18.331956192006352
1.539926526059492e-10,800,454.61882232577125,17.46362686244125
1.778279410038923e-10,800,452.7411185410931,16.64790694742372
2.053525026457146e-10,800,450.82274627161956,15.881609003659156
2.371373705661655e-10,800,448.858350446923,15.16173870527962
2.7384196342643615e-10,800,446.809632628705,14.485483143450447
3.1622776601683795e-10,800,444.61708843433246,13.850199834867857
3.651741272548377e-10,800,442.2178088689473,13.253406396198006
4.2169650342858224e-10,800,439.56536766276076,12.692770844110175
4.869675251658631e-10,800,436.647284071873,12.166102483001223
5.623413251903491e-10,800,433.4959947317271,11.671343344804908
6.493816315762113e-10,800,430.19060226033025,11.206560147436953
7.498942093324559e-10,800,426.8486075493865,10.769936740453282
8.659643233600653e-10,800,423.6089591755486,10.359767008402695
1e-09,800,420.6096141757654,9.974448204143673
1.1547819846894583e-09,800,417.9640137944365,9.612474686075078
1.333521432163324e-09,800,415.74119538022535,9.27243203480889
1.539926526059492e-09,800,413.9536310961404,8.952991526295705
1.7782794100389228e-09,800,412.55543232275744,8.65290493980664
2.053525026457146e-09,800,411.45156417857464,8.370999680483708
2.3713737056616553e-09,800,410.51655591145203,8.106174197399923
2.7384196342643613e-09,800,409.6192827947054,7.857393679225128
3.1622776601683795e-09,800,408.649108043893,7.62368601067822
3.651741272548377e-09,800,407.5382752212288,7.404137973965572
4.216965034285823e-09,800,406.27603558501227,7.197891680362658
4.869675251658631e-09,800,404.9114941170207,7.004141217995217
5.623413251903491e-09,800,403.5442955925432,6.822129502721093
6.493816315762113e-09,800,402.30464710160845,6.651145319807493
7.498942093324558e-09,800,401.32632585154664,6.490520544843969
8.659643233600654e-09,800,400.7178210398177,6.339627533031759
1e-08,800,400.53729229775456,6.197876666648101
1e-12,900,307.5075982837956,365.0
1.1547819846894582e-12,900,313.14699296931707,339.4791747174888
1.333521432163324e-12,900,318.13082212629746,315.76755088803446
1.539926526059492e-12,900,322.8317454702659,293.7368720833471
1.7782794100389228e-12,900,327.543393908502,273.26797412485297
2.053525026457146e-12,900,332.44230611090364,254.25014052337073
2.3713737056616554e-12,900,337.5721937910126,236.580503612431
2.7384196342643612e-12,900,342.85184801482313,220.16348813596207
3.1622776601683794e-12,900,348.10389822551105,204.91029428070217
3.651741272548377e-12,900,353.09825509938605,190.73841735705443
4.2169650342858224e-12,900,357.60191633675885,177.5712015303335
4.869675251658631e-12,900,361.4261748822533,165.33742518853165
5.6234132519034904e-12,900,364.4631687261013,153.97091570385325
6.493816315762113e-12,900,366.70592811107326,143.4101915042595
7.498942093324559e-12,900,368.2491836916769,133.59812951898414
8.659643233600653e-12,900,369.27164340089837,124.48165619922932
1e-11,900,370.0036362492046,116.0114604427693
1.1547819846894581e-11,900,370.6864284448219,108.14172686966843
1.3335214321633241e-11,900,371.5307569904118,100.82988800639818
1.539926526059492e-11,900,372.6820197521439,94.03639403791509
1.7782794100389227e-11,900,374.19816185211914,87.72449888228606
2.053525026457146e-11,900,376.04387805917185,81.86006143073574
2.3713737056616552e-11,900,378.10175179170363,76.41136087802217
2.7384196342643612e-11,900,380.19790851092245,71.34892514426006
3.1622776601683794e-11,900,382.13720996290647,66.64537146012374
3.651741272548377e-11,900,383.7413987145129,62.2752582531534
4.216965034285823e-11,900,384.88319337229683,58.21494753401608
4.869675251658631e-11,900,385.5101910928631,54.44247703836712
5.6234132519034906e-11,900,385.6543872217534,50.937441432726175
6.493816315762113e-11,900,385.42580892658117,47.68088194180898
7.498942093324558e-11,900,384.9916877859992,44.655183800307874
8.659643233600654e-11,900,384.54523199865235,41.84398097443698
1e-10,900,384.2699243888143,39.23206763787927
1.1547819846894582e-10,900,384.30603219312854,36.80531592330865
1.333521432163324e-10,900,384.725536510665,34.55059950460357
