figure,sensor_number,linearized_x,x_noise_std,relative_x_noise_std
fig3,21,0.34123922175743837,0.03777632539236581,0.11070335114999821
fig3,22,0.22232824068790494,0.026155211290535812,0.1176423256425233
fig3,23,0.20348550278366193,0.027977525352915478,0.1374914918762548
fig3,24,0.18276201380386542,0.019084427932111087,0.10442228959345955
fig3,25,0.15402055075577725,0.019004948728881848,0.1233922917144807
fig4,21,0.34123922175743837,0.025963234021168274,0.07608514017659906
fig4,22,0.22232824068790494,0.017378628509498794,0.07816653635960798
fig4,23,0.20348550278366193,0.01715223337768168,0.08429216402662987
fig4,24,0.18276201380386542,0.014158063733432626,0.07746721235314591
fig4,25,0.15402055075577725,0.01237573160952937,0.08035117098855823
